Year,Broad Gauge,Metre Gauge,Narrow Gauge,Total
1964-65,3521,2891,464,6876
1965-66,3603,2913,470,6986
1966-67,3615,2911,481,7007
1967-68,3601,2920,506,7027
1968-69,3603,2921,508,7032
1969-70,3646,2913,499,7058
1970-71,3650,2915,501,7066
1971-72,3721,2876,496,7093
1972-73,3729,2871,498,7098
1973-74,3726,2874,479,7079
1974-75,3741,2873,471,7085
1975-76,3767,2828,461,7056
1976-77,3762,2786,474,7022
1977-78,3769,2783,468,7020
1978-79,3785,2767,469,7021
1979-80,3789,2769,459,7017
1980-81,3851,2725,459,7035
1981-82,3940,2674,458,7072
1982-83,3997,2625,446,7068
1983-84,4006,2615,444,7065
1984-85,4116,2533,444,7093
1985-86,4125,2526,441,7092
1986-87,4147,2516,442,7105
1987-88,4132,2507,445,7084
1988-89,4163,2478,442,7083
1989-90,4187,2448,441,7076
1990-91,4241,2416,443,7100
1991-92,4281,2387,448,7116
1992-93,4299,2306,438,7043
1993-94,4466,2152,432,7050
1994-95,4688,1943,425,7056
1995-96,4869,1839,360,7068
1996-97,4962,1690,332,6984
1997-98,5175,1507,313,6995
1998-99,5229,1369,298,6896
1999-00,5220,1357,290,6867
2000-01,5261,1318,274,6853
2001-02,5338,1310,283,6931
2002-03,5402,1220,284,6906
2003-04,5611,1190,230,7031
2004-05,5780,1134,219,7133
2005-06,5727,1018,229,6974
2006-07,5830,888,191,6909
2007-08,6000,806,219,7025
2008-09,6185,642,203,7030
2009-10,6320,543,220,7083
2010-11,6419,494,220,7133
2011-12,6494,432,220,7146
2012-13,6577,379,216,7172
